conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/11b6390b-1e48-4903-a5df-d3e04b451a19,عالم في كيمائيات مستحضرات التجميل / عالمة في كيمائيات مستحضرات التجميل,released,,يطور العلماء في كيمائيات مستحضرات التجميل التركيبات من أجل ابتكار منتجات التجميل الجديدة واختبارها وتحسين منتجات التجميل الحالية مثل العطور والروائح المعطرة، وأحمر الشفاه والكريمات المقاومة للماء والمكياج المقاوم للماء وصبغة الشعر، والصابون والمنظفات بخصائص خاصة أو أدوية موضعية أو مكملات صحية.,http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,عالم كيميائي / عالمة كيميائية
Occupation,http://data.europa.eu/esco/occupation/11d72bd6-779a-4643-9962-313833740094,عالم بيئي / عالمة بيئية,released,,يحدد علماء البيئة المشكلات ويجدون الحلول لها من أجل تقليل المخاطر البيئية من خلال إجراء تحليل على العينات مثل الهواء أو الماء أو التربة. وهم يقدمون المشورة بشأن السياسات البيئية أو يضعونها ويهدفون إلى تحسين الحفاظ على إمدادات المياه وإدارة مواقع التخلص من النفايات. يقوم علماء البيئة بإجراء تقييمات للمخاطر البيئية وتحليل الأثر البيئي للحلول الجديدة أو مواقع الإنشاء أو التغيرات البيئية التي تضمن اتباع اللوائح البيئية.,http://data.europa.eu/esco/isco/C2133,
Occupation,http://data.europa.eu/esco/occupation/11df8941-508c-4103-ad40-52cdf9430a59,أخصائي بعلم الاجتماع / أخصائية بعلم الاجتماع,released,,يُركّز علماء الاجتماع أبحاثهم على شرح السلوك الاجتماعي وطريقة تنظيم الناس لأنفسهم كمجتمع. حيث يبحثون ويشرحون الطريقة التي تطورت بها المجتمعات من خلال وصف أنظمتهم القانونية والسياسية والاقتصادية وتعبيراتهم الثقافية.,http://data.europa.eu/esco/isco/C2632,
Occupation,http://data.europa.eu/esco/occupation/1738173e-ef9c-4222-88c8-b6aa9bad3cf7,أخصائي في الفيزياء الحيوية / أخصائية في الفيزياء الحيوية,released,,يدرس الأخصائيون في الفيزياء الحيوية العلاقة القائمة بين الكائنات الحية والفيزياء. ويقومون بإجراء الأبحاث على الكائنات الحية بناءً على طرق الفيزياء التي تهدف إلى شرح مدى تعقيد الحياة والتنبؤ بالنماذج واستنتاجات حول جوانب الحياة. تشمل أبحاث الأخصائيين في الفيزياء الحيوية الحمض النووي والبروتينات والجزيئات والخلايا والبيئات.,http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,عالم أحياء / عالمة أحياء
Occupation,http://data.europa.eu/esco/occupation/19db5ad1-ffbf-41a0-8746-d3878f0d5dbd,عالم في وسائل الإعلام / عالمة في وسائل الإعلام,released,,يبحث علماء وسائل الإعلام دور وسائل الإعلام وتأثيرها على المجتمع. ويلاحظون ويوثقون استخدام أنواع مختلفة من وسائل الإعلام مثل الصحف والإذاعة والتلفزيون والاستجابة من المجتمع.,http://data.europa.eu/esco/occupation/acf69cab-8629-45c8-ae10-c8fb15f474b6,عالم بالأنثروبولوجيا / عالمة بالأنثروبولوجيا
Occupation,http://data.europa.eu/esco/occupation/1bbaf82c-67ae-4beb-9a55-7298acf5b2af,محاضر تمريض / محاضرة تمريض,released,,محاضرو التمريض هم الأساتذة المتخصصون أو المعلمون أو المحاضرون، وغالبًا الأطباء الذين يوجهون الطلاب الذين حصلوا على شهادة التعليم الثانوي العليا في مجال دراستهم المتخصص، التمريض، والذي يغلب عليه الطابع الأكاديمي. وهم يعملون مع مساعدي الأبحاث الجامعية ومساعدي التعليم الجامعي لإعداد المحاضرات والاختبارات، وتصحيح الأبحاث والاختبارات، وإجراء الممارسات المختبرية، وإجراء جلسات للمراجعة والملاحظات للطلاب. كما يقومون بإجراء أبحاث أكاديمية في مجال التمريض التخصصي، ونشر نتائجهم والتواصل مع الزملاء الآخرين في الجامعات.,http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,محاضر التعليم العالي / محاضرة التعليم العالي
Occupation,http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad,عالم الأرصاد الجوية / عالمة الأرصاد الجوية,released,,يقوم علماء الأرصاد الجوية بدراسة عمليات المناخ وقياس أنماط الطقس والتنبؤ بها وتقديم خدمات استشارية لمجموعة متنوعة من مستخدمي معلومات الطقس. وهم يعملون على وضع نماذج للتنبؤ بالطقس، وتطوير الأدوات لجمع البيانات الأرصاد الجوية وجمع الإحصاءات وقواعد البيانات.,http://data.europa.eu/esco/isco/C2112,
Occupation,http://data.europa.eu/esco/occupation/2026adb2-62d7-4b92-9ccb-105abdebe37d,مهندس كهرومغناطيسية / مهندسة كهرومغناطيسية,released,,يقوم المهندسون الكهرومغناطيسيون بتصميم وتطوير الأنظمة والأجهزة والمكونات الكهرومغناطيسية مثل المغناطيسات الكهربائية في مكبرات الصوت والأقفال الكهرومغناطيسية ومغناطيسات في التصوير بالرنين المغناطيسي والمغناطيسات في المحركات الكهربائية.,http://data.europa.eu/esco/occupation/86ca306c-ab99-420a-9e2a-aa73c5c4de22,مهندس كهرباء / مهندسة كهرباء
Occupation,http://data.europa.eu/esco/occupation/203ea2ee-bbee-4aaf-83d7-2f2225f916e3,عالم آثار / عالمة آثار,released,,يبحث علماء الآثار عن الحضارات والمستوطنات السابقة من خلال جمع وتفتيش المواد الباقية منها. ويقومون بعمليات التحليل والاستنتاج حول مجموعة كبيرة من المسائل مثل أنظمة التسلسل الهرمي، واللغويات، والثقافة، والسياسة استنادًا إلى دراسة الأجسام والهياكل والحفريات والعلافات والأدوات التي يخلفها هؤلاء الأشخاص. كما يستخدم علماء الآثار العديد من الطرق متعددة التخصصات مثل الطبقات والتصنيف والتحليل ثلاثي الأبعاد والرياضيات والنمذجة.,http://data.europa.eu/esco/isco/C2632,
Occupation,http://data.europa.eu/esco/occupation/25829508-63f3-41c3-affc-ddbb5c077930,أخصائي في علم الوظائف / أخصائية في علم الوظائف,released,,يدرس الأخصائيون في علم الوظائف الأبحاث وينفّذونها حول عمل الكائنات الحية المختلفة والأجزاء التي تتكون منها وتفاعلاتها. فهم يفهمون الأسلوب الذي تتفاعل به الأنظمة الحية مع عوامل مثل الأمراض والنشاط البدني والإجهاد، ويستخدمون تلك المعلومات لتطوير طرق وحلول لاكتشاف تأثير تلك المحفزات على الكائنات الحية.,http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,عالم أحياء / عالمة أحياء
Occupation,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,عالم البيانات / عالمة البيانات,released,,يقوم علماء البيانات بالبحث عن مصادر البيانات الغنية وتفسيرها وإدارة كميات كبيرة من البيانات ودمج مصادر البيانات وضمان اتساق مجموعات البيانات والتمثيل المرئي للمساعدة في فهم البيانات. إذ يبنون النماذج الرياضية باستخدام البيانات ويقدمون استنتاجات ورؤى بيانات التواصل إلى المتخصصين والعلماء في فريقهم، وإذا لزم الأمر، إلى جمهور غير خبير، ويوصون بطرق لتطبيق البيانات.,http://data.europa.eu/esco/isco/C2511,
Occupation,http://data.europa.eu/esco/occupation/30058b71-fe16-45ea-a2b8-d5461c706372,محاضر أعمال / محاضرة أعمال,released,,محاضرو الأعمال هم الأساتذة المتخصصون أو المعلمون أو المحاضرون الذين يقومون بتوجيه الطلاب الذين حصلوا على شهادة التعليم الثانوي العليا في مجال دراستهم المتخصص، وهو الأعمال، والذي يكون في الغالب أكاديميًا في طبيعته. ويعملون مع مساعدي الأبحاث الجامعية ومساعدي التدريس الجامعي لإعداد المحاضرات والاختبارات وتصحيح الأبحاث والاختبارات وعقد جلسات للمراجعة والملاحظات للطلاب. كما يقومون بإجراء أبحاث أكاديمية في مجال تخصصهم وهو الأعمال ونشر نتائجهم والتواصل مع الزملاء الآخرين في الجامعات.,http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,محاضر التعليم العالي / محاضرة التعليم العالي
Occupation,http://data.europa.eu/esco/occupation/306e9867-cf55-446f-88c6-8adad5369f8c,محاضر علوم الأرض / محاضرة علوم الأرض,released,,محاضرو علوم الأرض هم الأساتذة المتخصصون أو المعلمون أو المحاضرون الذين يقومون بتوجيه الطلاب الذين حصلوا على شهادة التعليم الثانوي العليا في مجال دراستهم المتخصص، وهو علوم الأرض، والذي يكون في الغالب أكاديميًا في طبيعته. وهم يعملون مع مساعدي الأبحاث الجامعية ومساعدي التدريس الجامعي لإعداد المحاضرات والفحوصات وتصحيح الأبحاث والفحوصات وعقد جلسات للمراجعة والملاحظات للطلاب. كما يقومون بإجراء أبحاث أكاديمية في مجالهم التخصصي علوم الأرض ونشر نتائجهم والتواصل مع الزملاء الآخرين في الجامعات.,http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,محاضر التعليم العالي / محاضرة التعليم العالي
Occupation,http://data.europa.eu/esco/occupation/35d41f4f-334b-452e-9e31-99f376302493,مهندس ضوئي / مهندسة ضوئية,released,,يتولى المهندسون الضوئيون تصميم وتطوير الأنظمة والأجهزة الضوئية، مثل أجهزة استشعار الأشعة فوق البنفسجية وأجهزة التصوير الفوتوغرافي ومصابيح LED. تجمع الهندسة الضوئية بين الهندسة البصرية والهندسة الإلكترونية في تصميم هذه الأنظمة والأجهزة. ويقومون بإجراء الأبحاث وإجراء التحليل واختبار الأجهزة والإشراف على الأبحاث.,http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,مهندس إلكترونيات / مهندسة إلكترونيات
Occupation,http://data.europa.eu/esco/occupation/3af4d6be-90b5-41f6-be06-3330dab3df73,باحث في العمل الاجتماعي / باحثة في العمل الاجتماعي,released,,يتولى الباحثون في العمل الاجتماعي إدارة المشاريع البحثية التي تهدف إلى التحقيق في القضايا الاجتماعية وتقديم تقارير حولها. فيما يقومون أولاً بإجراء أبحاث عن طريق جمع المعلومات من خلال المقابلات ومجموعات التركيز والاستبيانات؛ يتبعها تنظيم المعلومات المجمعة وتحليلها باستخدام حزم برامج الكمبيوتر. كما يحللون المشكلات الاجتماعية والاحتياجات، والطرق والأساليب المختلفة للاستجابة لها.,http://data.europa.eu/esco/occupation/11df8941-508c-4103-ad40-52cdf9430a59,أخصائي بعلم الاجتماع / أخصائية بعلم الاجتماع
Occupation,http://data.europa.eu/esco/occupation/3c305542-a51b-4b96-8d45-af11ca05eaa2,محاضر طب بيطري / محاضرة طب بيطري,released,,محاضرو الطب البيطري هم الأساتذة المتخصصون أو المعلمون أو المحاضرون، وغالبًا الأطباء الذين يوجهون الطلاب الذين حصلوا على شهادة التعليم الثانوي العالي في مجال دراستهم المتخصص، الطب البيطري، والذي يغلب عليه الطابع الأكاديمي. وهم يعملون مع مساعدي الأبحاث الجامعية ومساعدي التعليم الجامعي لإعداد المحاضرات والاختبارات، وتصحيح الأبحاث والاختبارات، وإجراء الممارسات المختبرية، وإجراء جلسات للمراجعة والملاحظات للطلاب. كما يقومون بإجراء أبحاث أكاديمية في مجالهم التخصصي الطب البيطري، ونشر نتائجهم والتواصل مع الزملاء الآخرين في الجامعات.,http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,محاضر التعليم العالي / محاضرة التعليم العالي
Occupation,http://data.europa.eu/esco/occupation/3d7a1284-824c-47d9-8387-b8e1cd5888b5,محاضر طب أسنان / محاضرة طب أسنان,released,,محاضرو طب الأسنان هم الأساتذة المتخصصون أو المعلمون أو المحاضرون، وغالبًا الأطباء الذين يقومون بتوجيه الطلاب الذين حصلوا على شهادة التعليم الثانوي العالي في مجال دراستهم المتخصص، طب الأسنان، والذي يغلب عليه الطابع الأكاديمي. وهم يعملون مع مساعدي الأبحاث الجامعية ومساعدي التعليم الجامعي لإعداد المحاضرات والاختبارات، وتصحيح الأبحاث والاختبارات، وإجراء الممارسات المختبرية، وإجراء جلسات للمراجعة والملاحظات للطلاب. كما يقومون بإجراء الأبحاث الأكاديمية في مجال طب الأسنان التخصصي، ونشر نتائجهم والتواصل مع الزملاء الآخرين في الجامعات.,http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,محاضر التعليم العالي / محاضرة التعليم العالي
Occupation,http://data.europa.eu/esco/occupation/3dbd758c-6dc0-41fe-8248-2250c9bfa4ab,عالم المناخ / عالمة المناخ,released,,يدرس علماء المناخ متوسط التغير في الطقس والمناخ من منظور طويل المدى. ويبحثون ظروف الطقس المهمة ويحللونها من أجل التنبؤ بتوجهات ظروف الطقس مثل التغيرات في درجة الحرارة أو الاحتباس الحراري أو ظروف الطقس المتطورة الإقليمية. ويستخدمون هذه النتائج لتقديم المشورة بشأن السياسة البيئية والبناء والمشاريع الزراعية والقضايا المجتمعية.,http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad,عالم الأرصاد الجوية / عالمة الأرصاد الجوية
Occupation,http://data.europa.eu/esco/occupation/3f7b7ce5-94b6-4e0c-98e7-a4ee5a6accf4,إخصائي السموم / أخصائية السموم,released,,يدرس أخصائيو السموم تأثيرات المواد الكيميائية أو العوامل البيولوجية والفيزيائية على الكائنات الحية، على وجه التحديد، وعلى البيئة وعلى صحة الحيوان والإنسان. وهم يُحدّدون الجرعات من التعرض للمواد التي تنشأ عن تأثيرات سامة في البيئات والأشخاص والكائنات الحية، كما يقومون بإجراء التجارب على الحيوانات ومزارع الخلايا.,http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,عالم أحياء / عالمة أحياء
Occupation,http://data.europa.eu/esco/occupation/441a5b76-2f51-4704-9df7-3b8e715dd3ad,عالم سلوكي / عالمة سلوكية,released,,يبحث العلماء السلوكيون في السلوك البشري في المجتمع ويلاحظونه ويصفونه. حيث يجرون استنتاجات حول الدوافع الكامنة وراء أفعال البشر، ويلاحظون الظروف المختلفة للعديد من السلوكيات، ويصفون مختلف الشخصيات. كما يقدمون المشورة للمنظمات والمؤسسات الحكومية في هذا المجال. وقد يعملون على تحليل سلوك الحيوانات.,http://data.europa.eu/esco/isco/C2632,
Occupation,http://data.europa.eu/esco/occupation/479ede81-bd51-4f3b-9d30-4910699fd211,محاضر صحافة / محاضرة صحافة,released,,محاضرو الصحافة ووسائل الإعلام هم الأساتذة المتخصصون أو المعلمون أو المحاضرون المتخصصون الذين يقومون بتوجيه الطلاب الذين حصلوا على شهادة التعليم الثانوي العليا في مجال الدراسة المتخصص، وهو الصحافة ووسائل الإعلام، والذي يكون في الغالب أكاديميًا في طبيعته. وهم يعملون مع مساعدي الأبحاث الجامعية ومساعدي التدريس الجامعي لإعداد المحاضرات والامتحانات وتصحيح الأبحاث والامتحانات وعقد جلسات للمراجعة والملاحظات للطلاب. كما يقومون بإجراء أبحاث أكاديمية في مجال الصحافة والإعلام التخصصي، ونشر نتائجهم والتواصل مع الزملاء الآخرين في الجامعات.,http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,محاضر التعليم العالي / محاضرة التعليم العالي
Occupation,http://data.europa.eu/esco/occupation/49023c69-302f-4671-b26f-7229d1a53915,محاضر اتصالات / محاضرة اتصالات,released,,محاضرو الاتصالات هم الأساتذة المتخصصون أو المعلمون أو المحاضرون الذين يقومون بتوجيه الطلاب الذين حصلوا على شهادة التعليم الثانوي العليا في مجال دراستهم المتخصص، الاتصالات، والذي يكون في الغالب أكاديميًا في طبيعته. ويعملون مع مساعدي الأبحاث الجامعية ومساعدي التدريس الجامعي لإعداد المحاضرات والاختبارات وتصحيح الأبحاث والاختبارات وعقد جلسات للمراجعة والملاحظات للطلاب. كما يقومون بإجراء أبحاث أكاديمية في مجال تخصصهم وهو الاتصالات ونشر نتائجهم والتواصل مع الزملاء الآخرين في الجامعات.,http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,محاضر التعليم العالي / محاضرة التعليم العالي
Occupation,http://data.europa.eu/esco/occupation/4b759f0e-8fec-4cf5-80d4-d112a9fd4e51,أخصائي علوم المحيطات,released,,"يتولى أخصائيو المحيطات دراسة وقيادة الأبحاث حول المواضيع ذات الصلة بالبحار والمحيطات. وتنقسم خبرة أخصائيو المحيطات إلى عدة فروع أبحاث مثل أخصائيو  المحيطات الفيزيائية الذين يركزون أبحاثهم على الأمواج وظاهرة المد والجزر، وأخصائيو المحيطات الكيميائية الذين يدرسون تكوين مياه البحار الكيميائي، وأخصائيو المحيطات الجيولوجية الذين يوجهون أبحاثهم إلى قاع البحار وما به من طبقات.
   ",http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,أخصائي جيولوجي / أخصائية جيولوجية
Occupation,http://data.europa.eu/esco/occupation/4e8a5d3e-66de-4661-9927-ef3123cc79e9,محاضر عمارة / محاضر عمارة,released,,محاضرو العمارة هم أساتذة متخصصون أو معلمون أو محاضرون يقومون بتوجيه الطلاب الذين حصلوا على شهادة التعليم الثانوي العليا في مجال دراستهم المتخصص، العمارة، والذي يكون في الغالب أكاديميًا في طبيعته. وهم يعملون مع مساعدي الأبحاث الجامعية ومساعدي التدريس الجامعي لإعداد المحاضرات والامتحانات وتصحيح الأبحاث والامتحانات وعقد جلسات للمراجعة والملاحظات للطلاب. كما يقومون بإجراء أبحاث أكاديمية في مجال العمارة، ونشر نتائجهم، والتواصل مع الزملاء الآخرين في الجامعات.,http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,محاضر التعليم العالي / محاضرة التعليم العالي
Occupation,http://data.europa.eu/esco/occupation/4f4d33a1-0b41-4dd9-8a42-aeba5a3974ab,مهندس الاستشعار / مهندسة استشعار,released,,يتولى مهندسو الاستشعار تصميم وتطوير أجهزة الاستشعار وأنظمة الاستشعار والمنتجات المزودة بأجهزة استشعار. فهم يخططون ويراقبون تصنيع هذه المنتجات.,http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,مهندس إلكترونيات / مهندسة إلكترونيات
Occupation,http://data.europa.eu/esco/occupation/4f89b0d2-b666-4890-af01-25d1d60da1f3,عالم سياسي / عالمة سياسية,released,,يدرس العلماء السياسيون السلوك السياسي والنشاط والأنظمة، بما في ذلك العناصر الموجودة بها. وتتراوح دراستهم للمجال من أصول وتطور الأنظمة السياسية المختلفة إلى القضايا الراهنة مثل عمليات صنع القرار والسلوك السياسي والاتجاهات السياسية والمجتمع ومنظور السلطة. كما يقدمون المشورة للحكومات والمنظمات المؤسسية بشأن مسائل الحكم.,http://data.europa.eu/esco/isco/C2633,
Occupation,http://data.europa.eu/esco/occupation/52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,طبيب نفسي / طبيبة نفسية,released,,يدرس علماء النفس السلوك والعمليات العقلية لدى البشر. ويقدمون خدمات للعملاء الذين يعانون من مشكلات الصحة العقلية ومشكلات الحياة مثل الفجيعة وصعوبات إقامة العلاقات والعنف الأسري والاعتداء الجنسي. كما أنهم يقدمون المشورة لمشكلات الصحة العقلية مثل اضطرابات الأكل واضطرابات ما بعد الصدمة والذهان من أجل مساعدة العملاء على إعادة التأهيل والوصول إلى سلوك صحي.,http://data.europa.eu/esco/isco/C2634,
Occupation,http://data.europa.eu/esco/occupation/55167849-82cf-484e-b818-fa702a4e69e9,أخصائي هيدرولوجي / أخصائية هيدرولوجية,released,,يبحث الأخصائيون الهيدرولوجيون الجودة والتحديات الحالية وتوزيع المياه في الأرض. ويدرسونها. ويقومون بدراسة إمدادات المياه من الأنهار والجداول والينابيع لتحديد استخدامها الكافي والمستدام. ويخططون مع فريق متعدد الوظائف من المتخصصين كيفية توفير المياه للمدن والمناطق الحضرية ويطورونها مع ضمان الكفاءة والحفاظ على الموارد.,http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,أخصائي جيولوجي / أخصائية جيولوجية
Occupation,http://data.europa.eu/esco/occupation/557f9ccc-4e46-4bb2-8d20-272cd978b152,عالم بيطري,released,,العالم البيطري يطور ويبحث في نماذج الحيوانات، ويقارن البيولوجيا الأساسية بين الحيوانات، ويترجم نتائج البحث إلى مختلف الفصائل، بما فيها الإنسان.,http://data.europa.eu/esco/isco/C2250,
